番号,15,
名前,츠키시로 유키,
呼び名,유키,
基礎,체력,1600
基礎,기력,2000

基礎,정력,10000

基礎,무드,500 ; 무드 올리기 어려움
基礎,이성,1000
基礎,분노,1000
基礎,일량,1000
基礎,심도,2000
基礎,술기운,1500

基礎,신장,1460
基礎,체중,300


素質,성별,1
素質,처녀,1


;성격
素質,태도,1;거만함
素質,자존심,1;자존심 높음
素質,기분파,1;

;성에의 관심
素質,무관심,1;
素質,성적흥미,-1;보수적
素質,일선을넘지않음,1;

;아가씨의 마음


;체질

;기술
素質,벌채Lv,0
素質,낚시Lv,0
素質,채집Lv,0
素質,조제Lv,0
素質,습득속도,1;습득 빠름

;결벽도
素質,악취내성,2;더러움 무시

;정직도


;성애성
素質,성별기호,3;인간 불신

;매료


;몸 특징 -> 진짜 모르겠으니 뇌피셜로 만들어야 하네 이걸
素質,체형,-1;작은 체형
素質,C감도,-1;둔감
素質,V감도,-1;둔감
素質,A감도,-1;둔감
素質,B감도,-1;둔감
素質,M감도,-1;둔감
素質,가슴사이즈,-1;작은 가슴


;특수
素質,금단의지식,1;

; 마노사바 전용 특성들
素質,흑막,1;
素質,마녀,3;대마녀


;마법
素質,사망회귀,1;
素質,마녀죽이기,1;
素質,세뇌,1;
素質,액체조작,1;
素質,시선유도,1;
素質,뒤바뀜,1;
素質,흉내내기,1;
素質,환시,1;
素質,발화,1;
素質,괴력,1;
素質,부유,1;
素質,천리안,1;
素質,치유,1;






能力,청소기능,0
能力,화술기능,2
能力,전투능력,6
能力,교양,6
能力,요리기능,0
能力,음악기능,0
能力,채집기능,0
能力,낚시기능,0
能力,조제기능,0
能力,공작기능,0


能力,기교,1


;   フラグ,기본복장세트,129;복장

フラグ,초기위치,46
フラグ,신사거주,79
フラグ,자택위치,79

;フラグ,일반의뢰금지,1

;   フラグ,고유커맨드,1

フラグ,귀가시간,1260;21시
フラグ,취침시간,1320;22시
フラグ,기상시간,360;6시

; 히로의 지위 400을 기준으로 본다.
フラグ,지위,2000;지위

フラグ,이동율보정,-5
フラグ,이동절도,-2

フラグ,어조,1
; 수박깨기 말고는 어조 쓰는 파일 없는 것 같긴 한데 흠...
; 1 : ～です系 / 2 : ～だよ系 / 3 : ～だぞ系 / 4 : ～のじゃ系 / 5 : 無口系 / 그 이외 : ～のよ系

フラグ,성격경향,6 ;그 외
; 1 : 심약계 / 2 : 강경계 / 3 : 솔직함계 / 4 : 진지함계 / 그 이외 : 그 외
;심약계: ~에게 사과하면서도 격렬하게 / 미안해요와 몇 번이나 말하면서 / 입술을 거듭한 ~가, 흠칫흠칫 ~의 입술을 비집고 혀를 넣어 왔다
;강경계: ~의 엉덩이를 잡아 격렬하게 / 나는 기분이 좋다고 웃으면서 / 억지로 입술을 포개어 오는 ~의 혀가, ~의 입안을 유린한다
;솔직함계: 기분 좋다고 소리를 높이면서 / 함께 기분 좋아지자고 해 / 넋을 잃고 있는 ~은 ~의 구강에 혀를 내밀어 왔다
;진지함계: ~를 신경쓰면서도 격렬하게 / 이를 악물면서도 / ~은 입술을 겹친 채, 혀를 천천히 입안에 침입시켜 왔다
;그 외: 쾌감을 탐내는 듯 격렬하게 / 입가에 미소를 띠며 / ~는 ~에게 끈적끈적하고 농후한 키스를 했다……





;   CSTR,일정보,기사 집필　금요일　13시～19시
;   CSTR,직장,구천의폭포
;   CSTR,10,～전통의 환상 신문쟁이～　●종족：까마귀 텐구　●능력：바람을 조종하는 정도의 능력




