0,로터,0,
1,E마사지기,0,
2,클리캡,0,

4,바이브,0,
5,애널바이브,0,
6,애널비즈,0,
7,공기펌프,0,
8,확장벌룬,0,
9,애널플러그,0,
10,유두캡,0,
11,착유기,0,
12,페니스밴드,0,
13,채찍,0,
14,바늘,0,
15,눈가리개,0,
16,밧줄,0,
17,볼개그,0,
18,비디오카메라,0,

20,플레이매트,0,;목욕탕에서 플레이의 폭이 넓어진다
21,대거울,0,;수치플레이가 가능하게 된다
22,목걸이,0,;야외플레이가 가능하게 된다
23,에이프런,0,;새댁플레이가 가능하게 된다
24,전극플러그,0,
25,곤충채집세트,0,;쓸까 모르겠네
26,전기톱,0,;伐採にかかる時間を大幅に短縮する
27,【포박기능】,0,;구속플레이가 가능하게 된다
28,슈터깁스,0,;착용자의 능력을 제한하는 단련 기구　착용감이 나빠 불평
29,조제용품 세트,0,
30,키보드,0
31,피아노,9
32,기타,0
33,트럼펫,0
34,바이올린,0
35,보온전기밥통,0,식사가 식기 어려워진다
36,접는우산,0,
37,낚싯대,0,;낚시가 생긴다

39,믹서,0,섞어

	;40~59번까지는 복수 구입할 수 있는 도구용의 테두리에
40,로션,0,
41,미약,0,
42,이뇨제,0,
43,비디오테잎,0,;비디오카메라의 사용에 필요. 일회용
44,카메라필름,0,;사진 촬영으로 사용. 일회용
45,콘돔,0,;고정적의 피임 도구,피임에는 충분하지만,일회용
46,저온 초,0,;초플레이에 필요. 맨살을 손상시키지 않는 뛰어나고 것. 다만 비싼 가격에 비해 일회용


;추가아이템 박아놨음. 50까지 사용 가능

47,딜도,0,
48,카메라,0,;사진 찍음
50,팬티,0,;어째서인지 팬티로 아이템 가챠를 돌릴 수 있는 모양이다. ...정부는 무엇을 노리고 있는 거야?








51,탁주,0,;
52,청주,0,;

54,와인,0,;

56,감주,0,;
57,매실주,0,;
58,증류주,0,
59,약주,0,

	;60차례로부터는 능력 획득의 아이템을

61,【조합지식】,8,;플레이어에 TALENT:조합지식이 붙는다
62,【금단의지식】,8,;플레이어에 TALENT:금단의지식이 붙는다
63,【기교UP】,0,;플레이어의 기교를 올린다
64,【기교DOWN】,0,;플레이어의 기교를 내린다
;65,【오명반납】,0,;플레이어의 취득한 나무삼 카드를 1매 줄인다
